"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"IMD04_DECILE","IMD Decile Group","String(30)","The IMD Overall Ranking to identify which one of ten groups a Super Output Area belongs to, from most deprived through to least deprived.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","Most deprived 10%
More deprived 10-20%
More deprived 20-30%
More deprived 30-40%
More deprived 40-50%
Less deprived 40-50%
Less deprived 30-40%
Less deprived 20-30%
Less deprived 10-20%
Least deprived 10%",NA,NA,NA
"IMD04C","IMD Crime Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Crime Domain. The purpose of the Crime domain is to measure the incidence of recorded crime for four major crime themes:
1. burglary
2. theft
3. criminal damage
4. violence

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","3n = IMD Crime Domain value",NA,NA,NA
"IMD04ED","IMD Education Training and Skills Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Education, Skills and training Domain. The purpose of the Education, Skills and training domain is to capture the extent of deprivation in terms of education, skills and training in a local area. 

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","4n = IMD Education, Skills and Training Domain value",NA,NA,NA
"IMD04EM","IMD Employment Deprivation Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Employment Deprivation Domain. 
This domain measures employment deprivation conceptualised as involuntary exclusion of the working age population from the world of work.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","3n = IMD Employment Deprivation Domain value",NA,NA,NA
"IMD04HD","IMD Health and Disability Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Health Deprivation and Disability Domain. The purpose of the Health deprivation and disability domain is to identify areas with relatively high rates of:
1. premature deaths
2. impaired quality of life, due to poor health
3. people with disabilities

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","3n = IMD Health and Disability Domain value",NA,NA,NA
"IMD04HS","IMD Barriers to Housing and Services Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Barriers to Housing and Services Domain. The purpose of the Barriers to Housing and Services domain is to measure barriers to housing and key local services.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","4n = IMD Barriers to Housing and Services Domain value",NA,NA,NA
"IMD04I","IMD Income Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The purpose of this Domain is to capture the proportions of the population experiencing income deprivation in an area.

The current HES version of the Index is 2010, although the current IMD version of the index is 2015 which can be found on the IMD website:
https://www.gov.uk/government/statistics/english-indices-of-deprivation-2015","3n = IMD Income Domain value",NA,NA,NA
"IMD04IA","IMD Income Affecting Adults Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Older People Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Area's population aged 60 and over who are claiming Income Support or Job Seeker's Allowance.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","3n = IMD income affecting adults index value",NA,NA,NA
"IMD04IC","IMD Income Affecting Children Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Income Deprivation Domain. The Income Deprivation Affecting Children Index is a sub-set of the Income Deprivation Domain. The Index contains the percentage of a Super Output Area's children under 16 who were living in families receiving specific financial support, such as Income Support or Job Seeker's Allowance.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","3n = IMD Income Affecting Children Index value",NA,NA,NA
"IMD04LE","IMD Living Environment Domain","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains, one of which is the Living Environment domain. The Living Environment domain focuses on deprivation with respect to the characteristics of the living environment.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","4n = IMD Living Environment Domain value",NA,NA,NA
"IMD04RK","IMD Overall Rank","Number","The IMD overall ranking is made by combining the seven IMD Domain scores using the following weights:
- Income (22.5%)
- Employment (22.5%)
- Health Deprivation and Disability (13.5%)
- Education, Skills and Training (13.5%)
- Barriers to Housing and Services (9.3%)
- Crime (9.3%)
- Living Environment (9.3%)

The SOA (Super Output Area) with a rank of 1 is the most deprived, and 32482 the least deprived, on this overall measure.

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","5n = IMD Overall Ranking",NA,NA,NA
"INITDUR","Duration to Assessment","Number","The time (expressed as a whole number of minutes) between the patient’s arrival and their initial assessment.","4n = The time (in whole minutes) between the patient’s arrival and their initial assessment",NA,"RULE_0250",NA
"INITTIME","Initial Assessment Time","Time(HH24:MI:ss)","The time when a patient is assessed by medical or nursing staff in an A&E department to determine priority for treatment. The assessment should be conducted by medical or nursing staff who have received appropriate training in triage.","hhmm = The time when a patient is assessed by medical or nursing staff","RULE_0076",NA,NA
"INVEST_nn","A&E Investigation","String(6)","The A&E investigation recorded for an A&E attendance. The CDS allows an unlimited number of investigations to be submitted, however, only the first 12 investigations are available within HES. The A&E investigation is a six character code made up of, investigation (n2) and local sub-analysis (up to an4). As the sub-analysis is for local use it cannot be classified.","6an = An A&E investigation classification code",NA,NA,"Y"
"INVEST2_nn","A&E Investigation - 2 Character","String(2)","The A&E investigation description. This field contains a code based upon the first 2 characters) of the A&E investigation code (INVEST_nn).","01 = X-ray plain film
02 = Electrocardiogram
03 = Haematology
04 = Cross match blood/group & save serum for later cross match
05 = Biochemistry
06 = Urinalysis
07 = Bacteriology
08 = Histology
09 = Computerised tomography (retired 2006)
10 = Ultrasound
11 = Magnetic resonance imaging
12 = Computerised tomography (exc genito urinary contrast examination/tomography)
13 = Genito urinary contrast examination/tomography
14 = Clotting studies
15 = Immunology
16 = Cardiac enzymes
17 = Arterial/capillary blood gas
18 = Toxicology
19 = Blood culture
20 = Serology
21 = Pregnancy test
22 = Dental investigation
23 = Refraction, orthoptic tests and computerised visual fields
24 = None
99 = Other",NA,NA,"Y"
"INVESTSCHEME","Investigation Scheme in Use","String(3)","The coding scheme basis of the investigation (INVEST) fields","01 = Accident & Emergency Investigation",NA,NA,NA
